Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
ABANDON/ENDANGER CHILD CRIMINAL NEGLIGENCE,1,B,"FAMILY OFFENSES, NONVIOLENT",1
ABANDON/ENDANGER CHILD CRIMINAL NEGLIGENCE - FAMILY/GUARDIAN,3,B,"FAMILY OFFENSES, NONVIOLENT",1
ABANDON/ENDANGER CHILD IMM DANGER BOD INJ - FAMILY/GUARDIAN,1,B,"FAMILY OFFENSES, NONVIOLENT",1
ABANDON/ENDANGER CHILD WITH INTENT TO RETURN,1,B,"FAMILY OFFENSES, NONVIOLENT",1
ABANDON/ENDANGER CHILD WITH INTENT TO RETURN - FAMILY/GUARDIAN,1,B,"FAMILY OFFENSES, NONVIOLENT",1
ABANDON/ENDANGER CHILD-IMMINENT DANGER B.INJURY,2,B,"FAMILY OFFENSES, NONVIOLENT",1
ABANDONED PROPERTY (NO OFFENSE),21235,C,MISCELLANEOUS,0
ABUSE OF CORPSE,15,B,ALL OTHER OFFENSES,0
ABUSIVE/SILENT CALL/ELECTR COMM TO 911 SERVICE  PC 42.061(d),50,B,ALL OTHER OFFENSES,0
ABUSIVE/SILENT CALLS TO 911 SERVICE,41,B,ALL OTHER OFFENSES,0
ACCIDENT INV DAMAGE TO VEHICLE <$200,822,C,MISCELLANEOUS,1
ACCIDENT INVOLVING DEATH,49,A,HOMICIDE OFFENSES,1
ACCIDENT INVOLVING INJURY,1211,A,ASSAULT OFFENSES,1
ACCIDENT INVOLVING SERIOUS BODILY INJURY,239,A,ASSAULT OFFENSES,1
ACCIDENTAL DEATH (NO OFFENSE),934,C,MISCELLANEOUS,1
AIRPLANE CRASH (NO INJURIES OR DEATH INVOLVED),1,C,MISCELLANEOUS,0
ALARM INCIDENT REPORT (NO OFFENSE),6459,B,ALL OTHER OFFENSES,0
ALARM INCIDENT REPORT (WITH OFFENSE),60,B,ALL OTHER OFFENSES,0
APOWW (SOCIAL SERVICES REFERRAL),4599,C,MISCELLANEOUS,0
ARSON -(W BODILY INJURY OR DEATH) -ALL OTH STRUCT-UNINHAB,1,A,ARSON,1
ARSON -(W BODILY INJURY OR DEATH) -COM/PUBLIC - UNINHAB,1,A,ARSON,1
ARSON -(W BODILY INJURY OR DEATH) -OTH COMM - UNINHAB,1,A,ARSON,1
